id,price,accommodates,bedrooms,number_of_reviews,room_type
934400182151377264,400.0,2,1.0,78,Private room
29510388,356.0,1,1.0,12,Private room
909548972515315683,1028.0,4,2.0,32,Entire home/apt
52864504,1171.0,2,1.0,47,Entire home/apt
711410914355987416,428.0,4,2.0,7,Entire home/apt
36041789,553.0,2,1.0,349,Private room
23791938,639.0,2,1.0,89,Entire home/apt
42427533,919.0,2,1.0,7,Private room
996335205243923957,816.0,9,2.0,32,Entire home/apt
12603951,1000.0,5,3.0,3,Entire home/apt
863761485282311675,1568.0,2,1.0,39,Entire home/apt
34531448,690.0,2,1.0,150,Entire home/apt
1019018951729125403,1211.0,7,3.0,28,Entire home/apt
984374851651990713,4569.0,5,2.0,30,Entire home/apt
8909112,560.0,1,1.0,253,Private room
1229738042831767520,351.0,3,1.0,36,Entire home/apt
22969299,3797.0,2,1.0,65,Entire home/apt
1060127209203563147,665.0,4,2.0,14,Entire home/apt
15868294,1817.0,2,1.0,2,Entire home/apt
1504495838185775573,2259.0,4,2.0,0,Entire home/apt
923925596564499430,298.0,2,1.0,17,Private room
1248051717822297640,2736.0,3,1.0,46,Entire home/apt
1419896958214272706,810.0,2,1.0,21,Entire home/apt
52865335,414.0,2,1.0,79,Private room
1105927178005189960,912.0,2,1.0,39,Entire home/apt
678391988616794589,802.0,4,2.0,13,Entire home/apt
42672067,1143.0,5,2.0,21,Entire home/apt
17151177,585.0,2,1.0,18,Private room
1418532516500256927,560.0,1,1.0,0,Private room
1221126375368573192,500.0,1,1.0,1,Private room
1412421706526928957,889.0,2,1.0,13,Entire home/apt
1365583071020908504,1435.0,4,1.0,13,Entire home/apt
856657085496276518,582.0,2,1.0,79,Private room
1071841361087059584,1700.0,10,3.0,63,Entire home/apt
1146515330215379858,1249.0,2,1.0,46,Entire home/apt
817291,1171.0,4,2.0,86,Entire home/apt
772550250233437084,861.0,2,1.0,54,Entire home/apt
1224052096875973265,1508.0,4,2.0,11,Entire home/apt
1349520922324698238,185.0,1,1.0,5,Shared room
1295142804435467483,2534.0,4,2.0,24,Entire home/apt
1035542019278582111,1394.0,4,2.0,62,Entire home/apt
26643544,684.0,4,1.0,25,Entire home/apt
1077815448353824545,1359.0,4,2.0,18,Entire home/apt
1221231006506759324,1235.0,4,2.0,12,Entire home/apt
32934617,782.0,2,1.0,50,Entire home/apt
912263486504434260,509.0,1,1.0,22,Private room
16203622,2388.0,6,3.0,177,Entire home/apt
39584060,898.0,2,1.0,312,Entire home/apt
995944881221016485,985.0,5,2.0,24,Entire home/apt
1472744240914400223,907.0,5,2.0,7,Entire home/apt
23879225,551.0,2,1.0,7,Private room
1186364322864561037,966.0,5,2.0,58,Entire home/apt
1264538346882787229,616.0,2,1.0,15,Private room
925564070586629213,632.0,5,2.0,25,Entire home/apt
26714845,1171.0,2,1.0,21,Private room
1196806474462396308,1925.0,5,2.0,26,Entire home/apt
1232121775555544768,1170.0,1,2.0,0,Entire home/apt
1331213886403214343,2106.0,1,2.0,0,Entire home/apt
1414974659646248849,2042.0,9,3.0,1,Entire home/apt
44941876,1169.0,4,1.0,122,Entire home/apt
1467761092077163813,734.0,2,1.0,6,Private room
1470096117218250778,691.0,4,1.0,8,Private room
1451017307911369447,1894.0,6,2.0,27,Entire home/apt
32381598,959.0,2,1.0,408,Entire home/apt
2075738,2471.0,2,1.0,116,Entire home/apt
1347021871679183300,9333.0,8,4.0,6,Entire home/apt
1047039446123360071,970.0,3,1.0,53,Entire home/apt
1458386735673449991,407.0,1,1.0,0,Private room
1047837080517718505,1625.0,2,1.0,0,Private room
51304380,774.0,4,2.0,104,Entire home/apt
1470586099068813010,855.0,5,2.0,10,Entire home/apt
1343676121508342477,585.0,4,1.0,5,Entire home/apt
649114581486028905,1396.0,2,1.0,42,Private room
1329687245341624420,849.0,2,1.0,14,Entire home/apt
923983077078516429,598.0,2,1.0,2,Private room
12309502,609.0,2,1.0,190,Private room
